workerCounter,assignmentId,workerId,hitId,trial type,reaction time,score,stimulus1,stimulus2 
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,0,8575,3,56,58
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,1,4797,5,14,28
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,1,7657,2,17,58
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,1,2819,4,53,44
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,1,2486,7,28,47
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,1,3015,5,47,45
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,2957,1,54,49
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,9517,6,14,47
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4186,4,50,56
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3441,5,55,57
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3594,4,20,53
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,2722,4,14,51
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3465,5,45,20
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,8875,3,50,20
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5195,7,14,59
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,8561,6,55,20
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,6337,7,54,47
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3215,5,41,43
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4972,8,48,44
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4852,6,52,45
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3145,5,46,52
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3120,4,46,51
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3532,3,55,50
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5815,3,38,20
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4406,7,50,38
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3576,6,41,28
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,2822,6,38,52
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4487,2,17,54
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,2786,3,38,57
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,2664,3,38,44
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4462,4,38,14
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4238,7,53,42
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5624,3,50,43
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4204,4,45,38
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4966,2,17,14
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5500,2,58,42
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5431,6,57,52
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,8435,4,58,54
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,7385,5,14,54
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,3,2842,true,49,49
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5369,3,54,47
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5766,2,50,20
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3785,6,14,54
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3617,5,46,52
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5298,4,17,14
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3812,3,41,43
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4647,5,50,38
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3639,4,45,38
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3284,5,45,20
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,14759,6,14,59
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4422,6,52,45
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4034,3,38,20
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4540,6,38,14
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5486,6,55,20
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4271,4,38,57
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4135,5,38,44
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5174,3,46,51
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4103,5,38,52
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,4383,7,57,52
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,6607,8,53,42
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,5806,4,50,43
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,9920,5,20,53
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,2696,6,55,57
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,7411,6,41,28
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3501,4,17,54
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,2,3928,5,50,56
